PHASE,ID,GENDER,STATUS,CHILDREN,ESTINCOME,CAROWNER,AGE,LONGDISTANCE,INTERNATIONAL,LOCAL,DROPPED,PAYMETHOD,LOCALBILLTYPE,LONGDISTANCEBILLTYPE,USAGE,RATEPLAN,CHURN
Adult,74,M,M,1,+0039229.10000000,N,+0000026.26000000,+00028.,+00004.,+00013.,0,CC,Budget,Intnl_discount,+00047.,4,F
Adult,78,F,M,0,+0072642.60000000,N,+0000027.64666700,+00018.,+00000.,+00020.,0,CH,FreeLocal,Intnl_discount,+00039.,4,F
Adult,79,F,S,0,+0098716.30000000,N,+0000055.66000000,+00020.,+00008.,+00013.,0,CC,FreeLocal,Standard,+00043.,4,T
Adult,85,F,M,1,+0077129.10000000,Y,+0000061.84666700,+00024.,+00000.,+00020.,0,CH,FreeLocal,Intnl_discount,+00044.,4,F
Adult,86,F,M,2,+0008204.72000000,N,+0000052.97333300,+00015.,+00000.,+00024.,0,CH,FreeLocal,Standard,+00039.,3,F
Adult,88,F,M,0,+0080405.10000000,N,+0000060.22666700,+00002.,+00008.,+00017.,0,CC,FreeLocal,Standard,+00028.,4,F
Adult,89,F,S,2,+0038280.00000000,N,+0000033.74000000,+00011.,+00000.,+00074.,0,Auto,FreeLocal,Intnl_discount,+00086.,4,T
Adult,92,F,M,2,+0045429.70000000,Y,+0000061.71333300,+00024.,+00000.,+00073.,0,CH,FreeLocal,Standard,+00097.,2,T
Adult,94,F,S,0,+0025285.50000000,N,+0000053.98666700,+00009.,+00000.,+00011.,0,CC,FreeLocal,Standard,+00021.,1,T
Adult,108,F,S,1,+0013109.10000000,N,+0000062.60666700,+00022.,+00000.,+00040.,0,Auto,Budget,Standard,+00062.,1,T
Adult,111,M,S,0,+0074460.70000000,Y,+0000055.34000000,+00025.,+00000.,+00179.,0,CC,FreeLocal,Standard,+00206.,2,T
Adult,114,F,S,2,+0028787.40000000,N,+0000041.66666700,+00027.,+00000.,+00058.,0,Auto,Budget,Standard,+00086.,2,T
Adult,117,M,M,1,+0013091.60000000,N,+0000059.12666700,+00022.,+00000.,+00020.,0,CC,Budget,Intnl_discount,+00043.,2,F
Adult,121,F,M,1,+0020550.90000000,Y,+0000022.12000000,+00027.,+00000.,+00057.,0,CC,Budget,Standard,+00085.,3,T
Adult,124,M,M,2,+0001765.41000000,N,+0000018.76666700,+00003.,+00000.,+00044.,0,CC,FreeLocal,Standard,+00047.,4,F
Adult,127,F,S,2,+0019131.10000000,N,+0000056.18666700,+00022.,+00000.,+00034.,0,Auto,Budget,Standard,+00057.,2,T
Adult,133,M,M,2,+0042750.30000000,Y,+0000050.49333300,+00020.,+00001.,+00112.,0,Auto,Budget,Intnl_discount,+00134.,1,F
Adult,135,F,S,2,+0002842.55000000,N,+0000045.92000000,+00000.,+00000.,+00000.,0,Auto,Budget,Intnl_discount,+00000.,2,T
Adult,136,M,M,2,+0022358.10000000,N,+0000052.62666700,+00015.,+00001.,+00012.,0,CC,Budget,Standard,+00029.,1,F
Adult,138,M,M,0,+0047870.80000000,Y,+0000027.26000000,+00002.,+00001.,+00012.,0,CC,FreeLocal,Standard,+00013.,2,F
Adult,148,M,M,2,+0091272.20000000,Y,+0000025.03333300,+00026.,+00000.,+00013.,0,CC,FreeLocal,Standard,+00040.,3,F
Adult,154,M,S,0,+0065000.00000000,Y,+0000045.65333300,+00011.,+00009.,+00115.,1,Auto,FreeLocal,Intnl_discount,+00137.,4,T
Adult,158,M,M,2,+0001406.05000000,Y,+0000019.30666700,+00011.,+00000.,+00015.,0,CC,Budget,Standard,+00026.,1,F
Adult,169,F,S,0,+0093322.10000000,Y,+0000040.31333300,+00029.,+00000.,+00008.,0,CH,Budget,Intnl_discount,+00038.,1,T
Adult,178,M,M,2,+0049910.70000000,Y,+0000051.52000000,+00027.,+00000.,+00023.,0,CC,Budget,Standard,+00051.,3,F
Adult,180,M,M,0,+0076161.40000000,Y,+0000044.57333300,+00011.,+00000.,+00025.,0,CC,FreeLocal,Standard,+00037.,4,T
Adult,191,M,M,0,+0092414.70000000,Y,+0000045.51333300,+00029.,+00000.,+00010.,0,CC,FreeLocal,Standard,+00040.,4,T
Adult,192,M,M,1,+0060102.70000000,N,+0000042.14000000,+00009.,+00000.,+00062.,1,CH,FreeLocal,Standard,+00072.,3,T
Adult,195,F,S,1,+0012526.30000000,N,+0000053.55333300,+00011.,+00000.,+00028.,0,CC,FreeLocal,Intnl_discount,+00040.,2,T
Adult,201,M,M,0,+0078572.20000000,Y,+0000042.34666700,+00021.,+00000.,+00029.,1,CC,FreeLocal,Standard,+00051.,4,T
Child,205,F,M,0,+0028770.90000000,N,+0000012.34000000,+00027.,+00005.,+00016.,0,CH,FreeLocal,Standard,+00049.,4,F
Adult,206,F,M,2,+0087578.20000000,Y,+0000053.36666700,+00000.,+00000.,+00022.,0,CC,Budget,Standard,+00022.,1,F
Child,207,F,M,2,+0086695.40000000,N,+0000013.90666700,+00025.,+00000.,+00032.,0,CC,FreeLocal,Standard,+00058.,2,F
Adult,209,F,S,2,+0076791.20000000,N,+0000061.00000000,+00020.,+00000.,+00023.,0,CC,Budget,Intnl_discount,+00043.,4,F
Child,213,F,D,0,+0030763.80000000,Y,+0000014.19333300,+00021.,+00000.,+00035.,0,CC,Budget,Standard,+00057.,4,T
Adult,214,F,M,2,+0003193.60000000,N,+0000054.04666700,+00004.,+00000.,+00114.,1,CH,Budget,Standard,+00118.,3,F
Child,215,M,M,1,+0069680.90000000,N,+0000015.84666700,+00007.,+00000.,+00032.,0,CC,FreeLocal,Intnl_discount,+00039.,2,F
Adult,222,M,S,0,+0066666.00000000,N,+0000052.00000000,+00004.,+00007.,+00008.,0,CH,Budget,Standard,+00020.,1,T
Adult,228,F,M,0,+0014932.50000000,N,+0000052.00000000,+00004.,+00000.,+00006.,0,CC,Budget,Intnl_discount,+00011.,1,F
Adult,229,F,S,0,+0027498.10000000,N,+0000042.00000000,+00002.,+00000.,+00009.,0,CC,Budget,Intnl_discount,+00012.,4,F
Adult,232,F,M,2,+0030665.20000000,Y,+0000022.88000000,+00005.,+00008.,+00063.,0,Auto,FreeLocal,Standard,+00077.,3,F
Adult,234,F,M,2,+0050561.30000000,N,+0000052.00000000,+00016.,+00000.,+00113.,1,CH,Budget,Standard,+00129.,2,F
Adult,238,F,M,1,+0098680.40000000,Y,+0000055.00000000,+00017.,+00000.,+00008.,0,CH,FreeLocal,Intnl_discount,+00026.,4,F
Adult,242,F,M,1,+0066921.40000000,Y,+0000043.00000000,+00015.,+00000.,+00008.,0,CC,FreeLocal,Intnl_discount,+00024.,3,F
Adult,243,F,M,1,+0098453.60000000,Y,+0000046.00000000,+00013.,+00000.,+00011.,0,Auto,FreeLocal,Standard,+00025.,3,F
Adult,247,M,M,0,+0077000.00000000,N,+0000044.00000000,+00003.,+00003.,+00026.,1,CH,FreeLocal,Standard,+00034.,4,T
Adult,255,F,S,0,+0039461.00000000,N,+0000022.22666700,+00022.,+00000.,+00103.,1,CC,FreeLocal,Standard,+00126.,4,T
Adult,257,F,S,1,+0068000.00000000,N,+0000060.00000000,+00022.,+00000.,+00063.,0,Auto,FreeLocal,Standard,+00086.,3,F
Adult,261,F,S,2,+0086747.10000000,N,+0000064.85333300,+00020.,+00000.,+00037.,0,Auto,Budget,Standard,+00057.,3,F
Adult,263,F,M,1,+0087404.60000000,N,+0000063.18666700,+00021.,+00000.,+00139.,0,Auto,Budget,Standard,+00160.,3,F
Adult,265,F,M,2,+0085394.00000000,Y,+0000020.16000000,+00019.,+00002.,+00014.,1,Auto,Budget,Intnl_discount,+00035.,4,F
Adult,266,F,S,0,+0002121.36000000,N,+0000039.78666700,+00002.,+00000.,+00036.,1,CC,FreeLocal,Standard,+00038.,3,T
Adult,267,F,M,2,+0063566.10000000,Y,+0000056.30000000,+00007.,+00000.,+00065.,0,CH,Budget,Intnl_discount,+00073.,2,F
Child,270,F,S,0,+0089813.60000000,N,+0000012.84666700,+00014.,+00001.,+00149.,0,CC,FreeLocal,Intnl_discount,+00166.,4,F
Adult,272,F,M,2,+0082644.20000000,Y,+0000033.49333300,+00021.,+00000.,+00019.,0,CC,FreeLocal,Intnl_discount,+00041.,4,F
Child,273,F,S,1,+0027783.60000000,N,+0000014.04000000,+00004.,+00006.,+00018.,0,CC,FreeLocal,Standard,+00029.,3,T
Adult,280,M,S,1,+0076529.80000000,N,+0000058.28000000,+00018.,+00005.,+00020.,0,CC,Budget,Standard,+00043.,1,T
Adult,283,F,M,0,+0080000.00000000,N,+0000048.00000000,+00027.,+00000.,+00045.,0,Auto,Budget,Standard,+00073.,3,F
Adult,285,F,M,0,+0098056.30000000,N,+0000055.96666700,+00023.,+00000.,+00126.,0,Auto,FreeLocal,Standard,+00150.,3,F
Adult,286,M,M,0,+0073400.00000000,Y,+0000064.22666700,+00000.,+00000.,+00002.,0,CH,Budget,Standard,+00002.,4,T
Adult,288,M,M,0,+0078894.20000000,N,+0000028.00000000,+00002.,+00001.,+00043.,0,CH,Budget,Intnl_discount,+00046.,2,F
Adult,290,M,M,0,+0062797.90000000,N,+0000054.44666700,+00008.,+00004.,+00055.,0,CH,Budget,Intnl_discount,+00068.,1,T
Adult,304,M,M,1,+0075799.90000000,N,+0000046.38000000,+00022.,+00007.,+00064.,0,CC,FreeLocal,Intnl_discount,+00094.,3,T
Child,309,F,S,0,+0041000.00000000,N,+0000016.06000000,+00026.,+00000.,+00108.,0,CC,Budget,Standard,+00134.,4,T
Adult,310,F,S,0,+0032098.00000000,N,+0000022.43333300,+00022.,+00008.,+00075.,0,CH,Budget,Intnl_discount,+00106.,2,T
Adult,313,F,M,2,+0059691.30000000,N,+0000038.04000000,+00021.,+00000.,+00256.,0,CC,Budget,Standard,+00278.,2,F
Adult,315,F,S,2,+0011251.10000000,Y,+0000061.00000000,+00028.,+00000.,+00113.,0,CC,FreeLocal,Standard,+00141.,2,T
Adult,317,M,M,0,+0070908.70000000,N,+0000049.62000000,+00007.,+00004.,+00043.,0,CC,FreeLocal,Standard,+00055.,4,T
Adult,320,F,M,2,+0050622.30000000,N,+0000040.46000000,+00020.,+00002.,+00090.,0,Auto,FreeLocal,Standard,+00112.,2,F
Adult,326,M,M,0,+0100020.00000000,Y,+0000052.26666700,+00029.,+00000.,+00062.,0,CH,Budget,Standard,+00092.,4,T
Adult,329,F,M,1,+0056722.80000000,N,+0000060.59333300,+00017.,+00006.,+00051.,0,CC,FreeLocal,Standard,+00074.,2,F
Adult,332,F,S,2,+0003416.62000000,Y,+0000022.76000000,+00018.,+00000.,+00104.,0,CC,Budget,Standard,+00123.,4,T
Adult,333,F,M,0,+0073400.00000000,Y,+0000055.63333300,+00000.,+00000.,+00010.,0,Auto,Budget,Standard,+00010.,2,F
Child,337,M,M,0,+0005745.00000000,Y,+0000015.38000000,+00026.,+00000.,+00017.,0,CC,FreeLocal,Standard,+00044.,1,T
Adult,341,M,S,0,+0086448.20000000,Y,+0000038.13333300,+00004.,+00003.,+00082.,0,CC,Budget,Intnl_discount,+00090.,2,F
Adult,346,F,M,2,+0081913.80000000,Y,+0000049.66000000,+00006.,+00000.,+00046.,0,CC,FreeLocal,Standard,+00053.,1,F
Adult,351,F,M,2,+0024482.80000000,N,+0000033.53333300,+00000.,+00000.,+00002.,0,CH,Budget,Intnl_discount,+00002.,4,F
Adult,354,F,M,2,+0092103.80000000,N,+0000052.15333300,+00007.,+00000.,+00007.,0,CC,Budget,Standard,+00014.,3,F
Adult,356,F,S,0,+0017138.20000000,N,+0000063.78666700,+00020.,+00000.,+00084.,0,CC,FreeLocal,Intnl_discount,+00104.,3,T
Adult,360,F,S,1,+0067239.40000000,N,+0000044.43333300,+00012.,+00000.,+00053.,0,Auto,FreeLocal,Intnl_discount,+00066.,2,F
Adult,361,M,M,1,+0069406.70000000,Y,+0000030.00000000,+00006.,+00007.,+00128.,1,CC,FreeLocal,Standard,+00142.,2,F
Adult,363,F,M,2,+0083259.30000000,N,+0000050.88000000,+00000.,+00000.,+00004.,0,CC,Budget,Standard,+00004.,4,F
Adult,365,M,S,2,+0060095.20000000,Y,+0000023.31333300,+00001.,+00000.,+00116.,0,Auto,Budget,Standard,+00117.,2,F
Adult,370,F,M,2,+0002185.60000000,N,+0000052.51333300,+00007.,+00000.,+00020.,1,CH,Budget,Standard,+00028.,1,F
Adult,375,F,M,2,+0011234.70000000,Y,+0000049.04666700,+00000.,+00000.,+00112.,0,CC,Budget,Standard,+00113.,3,F
Adult,377,F,M,2,+0036660.90000000,Y,+0000039.96000000,+00000.,+00000.,+00003.,1,CH,Budget,Intnl_discount,+00003.,1,F
Adult,379,F,M,2,+0068462.80000000,N,+0000034.40000000,+00024.,+00005.,+00060.,0,CC,FreeLocal,Standard,+00090.,2,F
Adult,383,F,M,2,+0063670.80000000,Y,+0000046.14666700,+00027.,+00000.,+00051.,0,Auto,FreeLocal,Standard,+00078.,2,F
Adult,384,M,S,0,+0083287.00000000,N,+0000045.48666700,+00029.,+00005.,+00035.,0,CC,Budget,Standard,+00070.,2,T
Adult,385,F,S,1,+0066000.00000000,Y,+0000045.48666700,+00020.,+00000.,+00100.,0,Auto,Budget,Standard,+00120.,1,F
Adult,388,F,M,1,+0082931.30000000,N,+0000064.64000000,+00019.,+00000.,+00118.,0,Auto,FreeLocal,Standard,+00137.,2,F
Adult,389,F,M,2,+0057483.90000000,N,+0000044.02666700,+00017.,+00000.,+00027.,0,CH,Budget,Standard,+00044.,2,F
Adult,391,F,S,2,+0021274.00000000,N,+0000045.52666700,+00010.,+00000.,+00032.,0,Auto,FreeLocal,Standard,+00043.,2,T
Adult,394,F,M,2,+0036725.10000000,N,+0000055.79333300,+00008.,+00009.,+00077.,0,CH,Budget,Standard,+00094.,2,F
Adult,398,M,S,1,+0094188.30000000,N,+0000057.54666700,+00020.,+00000.,+00019.,0,CC,Budget,Standard,+00041.,2,T
Adult,404,F,S,1,+0012374.90000000,Y,+0000033.49333300,+00017.,+00000.,+00106.,0,Auto,FreeLocal,Standard,+00123.,3,T
Adult,408,F,M,2,+0030998.80000000,N,+0000040.96000000,+00002.,+00000.,+00050.,0,Auto,Budget,Standard,+00052.,2,F
Adult,414,M,M,2,+0021416.50000000,N,+0000035.65333300,+00009.,+00009.,+00008.,0,CC,FreeLocal,Intnl_discount,+00027.,1,F
Child,418,M,M,2,+0078554.20000000,N,+0000016.70000000,+00005.,+00007.,+00023.,0,Auto,Budget,Standard,+00035.,3,F
Adult,421,M,M,0,+0060101.10000000,Y,+0000063.76666700,+00027.,+00006.,+00124.,2,CH,FreeLocal,Standard,+00157.,4,T
Adult,431,F,S,0,+0035000.00000000,N,+0000023.00000000,+00030.,+00000.,+00262.,0,CC,Budget,Standard,+00265.,3,T
Adult,442,F,S,0,+0040000.00000000,N,+0000020.00000000,+00026.,+00000.,+00061.,0,CC,Budget,Standard,+00065.,2,T
Adult,445,F,S,2,+0030090.00000000,N,+0000024.00000000,+00037.,+00002.,+00038.,0,CC,FreeLocal,Standard,+00062.,1,T
Adult,450,F,M,2,+0090271.60000000,N,+0000044.92666700,+00013.,+00000.,+00096.,0,CC,FreeLocal,Standard,+00110.,4,F
Adult,456,F,M,2,+0098217.10000000,N,+0000044.98000000,+00029.,+00000.,+00013.,0,CC,FreeLocal,Standard,+00042.,1,F
Adult,458,F,S,1,+0002929.13000000,N,+0000053.50666700,+00014.,+00000.,+00088.,0,CH,Budget,Intnl_discount,+00102.,1,T
Adult,461,M,M,0,+0096223.40000000,Y,+0000064.76000000,+00011.,+00000.,+00005.,0,CC,FreeLocal,Standard,+00018.,1,T
Adult,464,M,M,1,+0092148.50000000,Y,+0000033.00000000,+00003.,+00000.,+00100.,0,CC,Budget,Intnl_discount,+00113.,2,F
Adult,470,F,M,0,+0077994.00000000,N,+0000050.55333300,+00012.,+00000.,+00089.,0,CH,FreeLocal,Standard,+00102.,1,T
Adult,471,M,M,2,+0090103.70000000,N,+0000034.94666700,+00012.,+00008.,+00045.,0,CC,Budget,Intnl_discount,+00066.,3,F
Adult,472,F,M,0,+0059008.40000000,Y,+0000030.18000000,+00012.,+00000.,+00018.,0,CC,Budget,Standard,+00031.,1,T
Adult,473,M,M,2,+0005265.35000000,N,+0000052.87333300,+00002.,+00005.,+00023.,0,Auto,Budget,Intnl_discount,+00031.,3,F
Adult,478,F,S,0,+0000433.74000000,N,+0000060.74666700,+00003.,+00000.,+00040.,0,CC,FreeLocal,Standard,+00044.,1,T
Adult,479,F,M,2,+0016962.20000000,N,+0000045.36000000,+00018.,+00000.,+00008.,0,CC,Budget,Standard,+00027.,2,F
Adult,481,M,M,2,+0010708.30000000,N,+0000026.02666700,+00020.,+00004.,+00117.,0,CH,Budget,Intnl_discount,+00142.,3,F
Adult,491,F,M,0,+0055221.00000000,N,+0000042.00000000,+00000.,+00000.,+00015.,0,CC,FreeLocal,Standard,+00015.,3,F
Adult,492,F,M,1,+0008073.11000000,N,+0000043.00000000,+00028.,+00000.,+00060.,0,Auto,FreeLocal,Standard,+00089.,2,F
Adult,495,M,S,2,+0063152.60000000,Y,+0000063.17333300,+00029.,+00000.,+00040.,0,CC,Budget,Intnl_discount,+00070.,1,F
Adult,498,F,S,0,+0042760.50000000,N,+0000046.00000000,+00013.,+00000.,+00040.,0,CC,Budget,Standard,+00053.,3,F
Adult,500,F,M,0,+0027371.80000000,Y,+0000048.00000000,+00016.,+00000.,+00126.,0,CC,FreeLocal,Standard,+00142.,4,F
Adult,505,F,M,0,+0095405.70000000,N,+0000042.00000000,+00007.,+00000.,+00006.,0,CC,Budget,Standard,+00013.,4,F
Adult,506,F,S,0,+0095786.80000000,Y,+0000043.00000000,+00021.,+00000.,+00087.,0,CC,Budget,Standard,+00108.,4,F
Adult,510,F,M,2,+0056187.00000000,N,+0000042.00000000,+00008.,+00000.,+00013.,0,CH,Budget,Standard,+00021.,2,F
Adult,513,F,S,1,+0037000.00000000,N,+0000024.39333300,+00023.,+00000.,+00206.,0,CC,Budget,Intnl_discount,+00229.,2,T
Adult,520,M,M,0,+0019732.80000000,N,+0000050.67333300,+00024.,+00000.,+00022.,0,CC,FreeLocal,Standard,+00047.,2,F
Adult,523,M,S,2,+0000096.33000000,N,+0000056.47333300,+00026.,+00000.,+00032.,1,CC,Budget,Standard,+00059.,4,F
Adult,529,M,M,2,+0053010.80000000,N,+0000018.84000000,+00012.,+00000.,+00046.,4,CC,FreeLocal,Standard,+00058.,1,F
Adult,533,M,M,0,+0019749.30000000,N,+0000060.36666700,+00020.,+00000.,+00013.,0,CC,Budget,Standard,+00034.,1,F
Adult,535,M,M,2,+0020078.00000000,N,+0000032.84666700,+00009.,+00000.,+00006.,0,CC,Budget,Intnl_discount,+00015.,4,F
Adult,548,F,S,1,+0017540.70000000,Y,+0000062.78666700,+00022.,+00000.,+00013.,0,Auto,Budget,Standard,+00036.,1,T
Adult,550,F,M,2,+0028220.80000000,N,+0000038.76666700,+00026.,+00000.,+00012.,0,CC,FreeLocal,Standard,+00038.,4,T
Adult,554,F,M,2,+0005237.63000000,N,+0000048.75333300,+00013.,+00008.,+00056.,0,CC,Budget,Standard,+00078.,1,F
Adult,561,F,S,0,+0081710.90000000,N,+0000058.54000000,+00020.,+00000.,+00015.,1,CC,FreeLocal,Standard,+00036.,4,F
Adult,1138,F,S,2,+0028787.40000000,N,+0000041.66666700,+00027.,+00000.,+00058.,0,Auto,Budget,Standard,+00086.,1,T
Adult,565,F,M,1,+0057063.00000000,Y,+0000052.33333300,+00016.,+00000.,+00081.,0,CH,Budget,Standard,+00098.,4,F
Adult,574,F,M,2,+0045287.60000000,Y,+0000029.02666700,+00000.,+00000.,+00002.,0,CC,Budget,Standard,+00002.,3,F
Adult,577,F,S,1,+0016326.70000000,N,+0000050.61333300,+00000.,+00000.,+00001.,0,CC,FreeLocal,Intnl_discount,+00001.,2,T
Adult,585,F,M,2,+0083284.10000000,Y,+0000028.42000000,+00026.,+00000.,+00009.,0,Auto,FreeLocal,Intnl_discount,+00035.,3,F
Adult,591,F,S,0,+0098716.30000000,N,+0000055.66000000,+00020.,+00008.,+00013.,0,CC,FreeLocal,Standard,+00043.,4,T
Adult,592,F,S,2,+0066182.70000000,Y,+0000062.48000000,+00011.,+00000.,+00047.,0,Auto,Budget,Standard,+00058.,2,F
Adult,595,F,M,2,+0035976.50000000,Y,+0000048.85333300,+00018.,+00000.,+00031.,0,Auto,FreeLocal,Intnl_discount,+00050.,4,T
Adult,596,F,M,0,+0032703.10000000,Y,+0000064.92000000,+00016.,+00000.,+00056.,0,CC,Budget,Intnl_discount,+00072.,4,F
Adult,598,F,M,2,+0008204.72000000,N,+0000052.97333300,+00015.,+00000.,+00024.,0,CH,FreeLocal,Standard,+00039.,4,F
Adult,602,M,S,0,+0064136.60000000,Y,+0000061.10666700,+00016.,+00001.,+00125.,0,CC,FreeLocal,Intnl_discount,+00142.,2,T
Adult,604,F,M,2,+0045429.70000000,Y,+0000061.71333300,+00024.,+00000.,+00073.,0,CH,FreeLocal,Standard,+00097.,3,T
Adult,607,F,M,2,+0077551.10000000,Y,+0000033.60000000,+00020.,+00000.,+00041.,1,CC,Budget,Intnl_discount,+00062.,3,F
Adult,609,F,S,0,+0069350.50000000,Y,+0000057.42000000,+00001.,+00000.,+00025.,0,CC,FreeLocal,Standard,+00027.,4,F
Adult,616,M,S,2,+0043634.50000000,N,+0000021.78000000,+00029.,+00009.,+00104.,0,CC,Budget,Standard,+00143.,4,T
Adult,620,F,S,1,+0013109.10000000,N,+0000062.60666700,+00022.,+00000.,+00040.,0,Auto,Budget,Standard,+00062.,4,T
Adult,621,M,S,1,+0092647.50000000,N,+0000056.04666700,+00016.,+00005.,+00010.,0,CC,Budget,Standard,+00032.,4,T
Adult,622,M,S,2,+0021021.60000000,Y,+0000062.75333300,+00003.,+00000.,+00011.,0,CC,Budget,Standard,+00014.,2,F
Adult,623,M,S,0,+0074460.70000000,Y,+0000055.34000000,+00025.,+00000.,+00179.,0,CC,FreeLocal,Standard,+00206.,3,T
Adult,633,F,M,1,+0020550.90000000,Y,+0000022.12000000,+00027.,+00000.,+00057.,0,CC,Budget,Standard,+00085.,4,T
Adult,648,M,M,2,+0022358.10000000,N,+0000052.62666700,+00015.,+00001.,+00012.,0,CC,Budget,Standard,+00029.,3,F
Adult,650,M,M,0,+0047870.80000000,Y,+0000027.26000000,+00002.,+00001.,+00012.,0,CC,FreeLocal,Standard,+00013.,2,F
Adult,651,F,S,2,+0006440.46000000,Y,+0000041.00000000,+00022.,+00000.,+00027.,0,CH,Budget,Standard,+00049.,2,F
Child,656,M,M,1,+0005252.29000000,N,+0000016.33333300,+00002.,+00000.,+00017.,1,Auto,Budget,Standard,+00019.,2,F
Adult,660,M,M,2,+0091272.20000000,Y,+0000025.03333300,+00026.,+00000.,+00013.,0,CC,FreeLocal,Standard,+00040.,3,F
Adult,666,M,S,0,+0069000.00000000,Y,+0000052.26666700,+00011.,+00009.,+00115.,1,CC,FreeLocal,Intnl_discount,+00137.,4,T
Adult,670,M,M,2,+0001406.05000000,Y,+0000019.30666700,+00011.,+00000.,+00015.,0,CC,Budget,Standard,+00026.,3,F
Adult,672,F,S,0,+0073228.30000000,N,+0000043.00000000,+00022.,+00000.,+00028.,0,Auto,Budget,Standard,+00050.,2,F
Adult,673,F,S,2,+0076231.90000000,N,+0000063.80666700,+00002.,+00000.,+00150.,0,Auto,FreeLocal,Standard,+00152.,4,F
Adult,678,M,M,1,+0064792.30000000,N,+0000052.14666700,+00013.,+00001.,+00036.,0,CH,FreeLocal,Standard,+00051.,1,T
Adult,686,M,M,1,+0063437.30000000,N,+0000063.65333300,+00000.,+00003.,+00010.,0,CC,Budget,Intnl_discount,+00014.,3,T
Child,693,F,M,2,+0055860.00000000,Y,+0000014.57333300,+00016.,+00000.,+00010.,0,CC,FreeLocal,Intnl_discount,+00026.,4,F
Adult,703,M,M,1,+0092414.70000000,Y,+0000045.51333300,+00029.,+00000.,+00010.,0,CC,FreeLocal,Standard,+00040.,4,T
Adult,704,M,M,1,+0060102.70000000,N,+0000042.14000000,+00009.,+00000.,+00062.,1,CH,FreeLocal,Standard,+00072.,4,T
Adult,713,M,M,0,+0078572.20000000,Y,+0000042.34666700,+00021.,+00000.,+00029.,1,CC,FreeLocal,Standard,+00051.,3,T
Child,717,F,M,0,+0028770.90000000,N,+0000012.34000000,+00027.,+00005.,+00016.,0,CH,FreeLocal,Standard,+00049.,3,T
Adult,721,F,S,2,+0076791.20000000,N,+0000047.00000000,+00020.,+00000.,+00023.,0,CC,Budget,Intnl_discount,+00043.,1,F
Child,725,F,S,0,+0030763.80000000,Y,+0000014.19333300,+00021.,+00000.,+00035.,0,CC,Budget,Standard,+00057.,4,T
Adult,733,M,M,1,+0002067.82000000,N,+0000047.85333300,+00015.,+00000.,+00070.,0,CC,Budget,Intnl_discount,+00085.,2,F
Adult,740,F,M,0,+0014932.50000000,N,+0000046.00000000,+00004.,+00000.,+00006.,0,CC,Budget,Intnl_discount,+00011.,2,F
Adult,741,F,S,0,+0027498.10000000,N,+0000052.64666700,+00002.,+00000.,+00009.,0,CC,Budget,Intnl_discount,+00012.,4,F
Adult,743,F,M,2,+0021419.90000000,N,+0000059.83333300,+00026.,+00000.,+00103.,0,CC,FreeLocal,Standard,+00129.,1,F
